,date_posted,playtime,review,helpful_funny,recommended
0,Posted: August 1,110.2 hrs on record,"Story is ♥♥♥♥ing incredibleMusic is amazingGraphics amazingCombat is not the most interesting, but it is still very fun and there is plenty of boss battlesYou will probably feel depressed if you finish this game for the first time",No one has rated this review as helpful yet,Recommended
1,Posted: August 1,32.1 hrs on record,"I REALLY don't think I need to state the obvious, and say it's great and GOAT. So I'll say this:If this isn't on your hard drive right now, your computer must be broken. GET IN ON YOUR HARD DRIVE. NOW!!!Geralt, Mario, Sonic, Marcus Pheonix, Pikachu, Pac-Man, Donkey Kong, etc. These should be the names we will be talking about until the earth crashes into the sun.",1 person found this review helpful,Recommended
2,Posted: August 1,161.2 hrs on record,"Bigger but much shallower than the previous two installments. I would advise focusing on the main quest, otherwise the fetching and button mashing combat quickly become annoying. I was always torn between my impulse to explore the content and the fact that most of it was disappointing. The constant piling of gloom also makes it a somewhat depressing experience, with the liveliness and humor of Witcher 2 and especially 1 quite hard to find. In the end, stopped playing and just watched Youtube videos to get the end of the story, and I should have done that from the get go.",1 person found this review helpful1 person found this review funny,Not Recommended
3,Posted: August 1,82.2 hrs on record,"My very first playthrough took me around 71 hours to finish it... on Death March!. I'd do it all over again. But first things first, someone must erase my memory.Now... time for the expansions! xD 100/10",No one has rated this review as helpful yet,Recommended
4,Posted: August 1,111.0 hrs on record,masterfknpiece,1 person found this review helpful,Recommended
5,Posted: August 1,164.5 hrs on record,"I dont even know where to start, there is so much to talk about this masterpiece, I could spend hours writing about it yet 4 years since the release there is nothing new to be said about, from the beautiful graphics and astonishing landscapes (from Novigrad a medieval city, to Toussaint remembering a south french city in the coast of the Mediterranean, Skellige isles, and I could be on and on), the soundtrack is amazing as well, really made the battles feel more epic, yet it could make you feel more relaxed, just appreciate the vibe and relax, the legendary Priscilla´s song in the Inn, is one example.   To the gameplay itself, the combat is a bit buggy, when facing opponents you cant jump, and for example when fistfighting there is a lot of times you get stuck, which is annoying yet they are minor problems, and the combat overall is very well done, there are hundreds of combos with the use of signs, strong, fast attacks, bombs , including awesome finishers, another thing its worth mentioning is the movement, Geralt movement is fine in the general, the same could not be said about roach´s movement, the horse movement in the overral is acceptable, nevertheless he gets stuck a lot, once again unimportant problems in the overall experience    Now the gameplay content, this is the reason why this game differentiates itself from others, there is so much to do, this game can easily give you 300 hours of gameplay ( which in a singleplayer game is a remarkable feat), without doing the same over and over again, from witcher contracts to secondary quests that can be as good or even better than the main plot, to the famous Gwent game, a cards game, that now even is a game by his own, to the simple exploration that can be very very rewarding, reaching the corners of the map can give you legendary items, rare pieces of lore, and much much more.    To conclude, buy this game, even if you dont like RPG´s, just buy it and thank me later, I bought it during a steam sale for 14,99 euros including DLC´s, which is a steal, but even for 30 euros this game is worthy of every penny you spend, I cannot say this about 99 percent of other games, but CD Projekt Red really deserves all praise they get, they are the oasis in the desert in today´s gaming industry, giving you an example the Wine and Blood DLC, if made by any other corporation it could be easily a game, the amount of content, hours, the map size it can give you is absurd in a good way.Giving a rate to this game I would give a 9,8/10, if there is a game that its close to perfection this is the game, the 20k players that every day play it despite being a 4 year old singleplayer game confirms this.",1 person found this review helpful,Recommended
6,Posted: August 1,112.6 hrs on record,Damn RPG getting in the way of my Gwent,No one has rated this review as helpful yet1 person found this review funny,Recommended
7,Posted: August 1,140.1 hrs on record,"Best game I ever played,Massive open world100+ hours of gameplayOne of best written storiesEvery choice you make truly mattersVisually stunningCombat in some cases quite repetitive but alchemy, potions, throwables and perks keep game fresh.",2 people found this review helpful,Recommended
8,Posted: August 1,384.1 hrs on record,"Everything about the game is good, only thing they could have probably done better was to not let the  DLC packs start until the main quest was completed so that the world would reflect the correct state during the DLC  game play, for example, I got Nilfgaardian Army to win the war but throughout the DLC's Novigrad was still being ruled by Radovid and that didn't feel good.But all in all a true gamer's delight",No one has rated this review as helpful yet,Recommended
9,Posted: August 1,191.5 hrs on record,MASTERPIECE,2 people found this review helpful,Recommended
10,Posted: August 1,137.2 hrs on record,"To make it short, anyone who's thinking about trying this game, just get it and enjoy, this is a pure gem :)",1 person found this review helpful,Recommended
11,Posted: August 1,151.0 hrs on record,game paling jos mamank,No one has rated this review as helpful yet,Recommended
12,Posted: August 1,176.6 hrs on record,one of the best games ever,1 person found this review helpful,Recommended
13,Posted: August 1,53.9 hrs on record,Best game of all time. Literally.,2 people found this review helpful,Recommended
14,Posted: August 1,185.8 hrs on record,Wind's howling...,No one has rated this review as helpful yet2 people found this review funny,Recommended
15,Posted: August 1,274.0 hrs on record,"''97% of user Ratings are positive'' Why would you even read further, just buy it.",1 person found this review helpful,Recommended
16,Posted: August 1,0.9 hrs on record,most overrate n nc game.,No one has rated this review as helpful yet,Recommended
17,Posted: August 1,318.0 hrs on record,Epic,1 person found this review helpful,Recommended
18,Posted: August 1,227.5 hrs on record,this game is kidnapping me from real life. send help 10/10,1 person found this review helpful,Recommended
19,Posted: August 1,38.4 hrs on record,My beard finally came in.,No one has rated this review as helpful yet1 person found this review funny,Recommended
20,Posted: August 1,121.3 hrs on record,"Is it as good as people say it is?Yep, it is as good as people say it is",No one has rated this review as helpful yet,Recommended
21,Posted: July 31,94.6 hrs on record,"Simply the best RPG ever made. What a game. What an experience. Woman: ""Witcher! Help! My son has been kidnapped by a monster!"" Witcher: ""DO YOU PLAY GWENT!?!?!?""",No one has rated this review as helpful yet,Recommended
22,Posted: July 31,188.4 hrs on record,"I got this game when it first came out, and man did it take my breath away.  This is downright my favorite game to date, the graphics and game play are glorious. I've never seen a more beautiful. The story is wonderfully done, the characters are gold, and the length of the main story is so long and so good that I have replayed it 3 times, 3 different ways. Not to mention the DLCs which are also pure gold and longer than some full games.This is a game that you can easily sink into it hundreds of hours of your time, and feel like you have never spent your time more wisely.  I have over 180+ hours on steam, over 300+ hours including my first copy I had for my xbox. This is one of those games you have to play, its already in my mind a classic that will be remembered.  CD PROJEKT RED really outdid themselves on this game, and I look forward to playing more of their games to come (#cyberpunk2077).",No one has rated this review as helpful yet,Recommended
23,Posted: July 31,182.0 hrs on record,Just an amazing game.,No one has rated this review as helpful yet,Recommended
24,Posted: July 31,98.1 hrs on record,"Great game, 10/10 would recommend",No one has rated this review as helpful yet,Recommended
25,Posted: July 31,114.8 hrs on record,Best RPG I've ever played,No one has rated this review as helpful yet,Recommended
26,Posted: July 31,127.7 hrs on record,Probably the best RPG I've played to date. Shani 10/10.,No one has rated this review as helpful yet,Recommended
