,date_posted,playtime,review,helpful_funny,recommended
0,Posted: July 6,115.0 hrs on record,"After completing the entire main storyline and all of the DLC questlines as well as all the secondary quests save for the treasure hunts, I can confidently say that this game has found its way into my personal hall of fame. Even though the game came out several years ago, it still had a grasp of the genre that felt novel to me, and was in many ways quite refreshing. I personally lean towards open world, rpg games like the ghost recon series, assassins creed, borderlands, and far cry, but this game gave me a story that, even though i hadn't played the previous installments, felt personal, just because of the depth of the story, and just how much it sucked me up. Nothing really felt like it was just extra material, everything felt rather fleshed out and as though the developers had paid attention to even the smaller details, the little quests. In an era of games where we have big corporations like EA skimping on the underrated smaller details, it really makes me hopeful to find a relatively big company willing to spend the time and money to make a game more than a game, but a piece of art. This is my first review ever, so I'm just writing my personal feelings. It isn't super objective, but I think this game is a joy for fans of the genre, and also easy to pick up for newcomers. I rate 9/10.",No one has rated this review as helpful yet,Recommended
1,Posted: July 6,249.6 hrs on record,best game,No one has rated this review as helpful yet,Recommended
2,Posted: July 6,41.5 hrs on record,The Best game in 2015,No one has rated this review as helpful yet,Recommended
3,Posted: July 6,258.5 hrs on record,this's best game!,No one has rated this review as helpful yet,Recommended
4,Posted: July 6,172.2 hrs on record,Definitely a mature RPG. I highly recommend this game. Incredible story and MASSIVE world. Definitely one of my all time greats.,No one has rated this review as helpful yet,Recommended
5,Posted: July 6,200.5 hrs on record,Loved it! So much dept,No one has rated this review as helpful yet,Recommended
6,Posted: July 6,116.8 hrs on record,.,No one has rated this review as helpful yet,Recommended
7,Posted: July 6,21.0 hrs on record,"Awesome Story, bought it on sale, no regrets",No one has rated this review as helpful yet,Recommended
8,Posted: July 6,315.5 hrs on record,Just finished my 3rd playthrough and plan to do another one after i finish the first 2 games. Definitely a must play if you're waiting for 2077 or not.,No one has rated this review as helpful yet,Recommended
9,Posted: July 6,184.3 hrs on record,"Story, characters, world building, graphics, sound: A+Combat, character building, environmental interactivity: B+Overall: A. The combat can feel clunky at times and I wish there were deeper options for building your character, but overall this is a fantastic game and worthy of being considered a classic.",No one has rated this review as helpful yet,Recommended
10,Posted: July 6,2.4 hrs on record,The ♥♥♥♥♥er 3: Wild ♥♥♥♥,No one has rated this review as helpful yet,Recommended
11,Posted: July 6,14.7 hrs on record,meh,No one has rated this review as helpful yet,Not Recommended
12,Posted: July 6,1.4 hrs on record,best fantasy game ever,No one has rated this review as helpful yet,Recommended
13,Posted: July 6,115.1 hrs on record,9/10,No one has rated this review as helpful yet,Recommended
14,Posted: July 6,6.3 hrs on record,"Still Looks and plays amazingly, highly recommend",No one has rated this review as helpful yet,Recommended
15,Posted: July 6,2.5 hrs on record,Best Game Ever,No one has rated this review as helpful yet,Recommended
16,Posted: July 6,157.3 hrs on record,Amazing. Of course.,No one has rated this review as helpful yet,Recommended
17,Posted: July 6,2.7 hrs on record,A story rich game inside a beautiful open world,No one has rated this review as helpful yet,Recommended
